route_id,direction_id,hour,trip_count,avg_headway_min,min_headway_min
6,0,2,3,20.0,20.0
6,0,3,3,20.0,20.0
6,0,4,3,20.0,20.0
6,0,5,4,15.0,12.0
6,0,6,8,7.5,6.5
6,0,7,14,4.285714285714286,3.0
6,0,8,19,3.1578947368421053,3.0
6,0,9,18,3.3333333333333335,3.0
6,0,10,15,4.0,4.0
6,0,11,15,4.0,4.0
6,0,12,11,5.454545454545454,4.0
6,0,13,7,8.571428571428571,8.0
6,0,14,8,7.5,8.0
6,0,15,7,8.571428571428571,7.0
6,0,16,9,6.666666666666667,6.0
6,0,17,7,8.571428571428571,6.0
6,0,18,8,7.5,6.0
6,0,19,8,7.5,4.0
6,0,20,10,6.0,5.0
6,0,21,12,5.0,5.0
6,0,22,8,7.5,7.0
6,0,23,6,10.0,8.0
6,1,0,4,15.0,15.0
6,1,1,3,20.0,20.0
6,1,2,3,20.0,20.0
6,1,3,3,20.0,20.0
6,1,4,4,15.0,11.5
6,1,5,8,7.5,6.5
6,1,6,7,8.571428571428571,6.5
6,1,7,8,7.5,5.5
6,1,8,9,6.666666666666667,0.5
6,1,9,9,6.666666666666667,1.0
6,1,10,7,8.571428571428571,8.0
6,1,11,8,7.5,8.0
6,1,12,13,4.615384615384615,2.0
6,1,13,16,3.75,2.0
6,1,14,14,4.285714285714286,2.0
6,1,15,18,3.3333333333333335,0.5
6,1,16,18,3.3333333333333335,0.5
6,1,17,16,3.75,1.0
6,1,18,14,4.285714285714286,1.0
6,1,19,13,4.615384615384615,2.0
6,1,20,11,5.454545454545454,5.0
6,1,21,8,7.5,7.0
6,1,22,6,10.0,9.0
6,1,23,6,10.0,10.0
6X,0,12,4,15.0,8.0
6X,0,13,8,7.5,8.0
6X,0,14,7,8.571428571428571,8.0
6X,0,15,8,7.5,6.5
6X,0,16,8,7.5,6.0
6X,0,17,11,5.454545454545454,3.0
6X,0,18,8,7.5,3.5
6X,0,19,7,8.571428571428571,7.5
6X,0,20,2,30.0,9.0
6X,1,6,7,8.571428571428571,6.5
6X,1,7,11,5.454545454545454,4.0
6X,1,8,8,7.5,3.5
6X,1,9,7,8.571428571428571,6.5
6X,1,10,8,7.5,6.5
6X,1,11,7,8.571428571428571,8.0
6X,1,12,2,30.0,8.0
7,0,0,6,10.0,7.5
7,0,1,4,15.0,15.0
7,0,2,3,20.0,20.0
7,0,3,3,20.0,20.0
7,0,4,3,20.0,20.0
7,0,5,5,12.0,8.0
7,0,6,18,3.3333333333333335,2.0
7,0,7,25,2.4,2.0
7,0,8,28,2.142857142857143,2.0
7,0,9,16,3.75,3.0
7,0,10,12,5.0,5.0
7,0,11,12,5.0,5.0
7,0,12,12,5.0,5.0
7,0,13,12,5.0,5.0
7,0,14,10,6.0,5.0
7,0,15,8,7.5,8.0
7,0,16,10,6.0,5.5
7,0,17,13,4.615384615384615,4.0
7,0,18,9,6.666666666666667,6.0
7,0,19,10,6.0,6.0
7,0,20,7,8.571428571428571,6.5
7,0,21,9,6.666666666666667,5.0
7,0,22,12,5.0,5.0
7,0,23,9,6.666666666666667,6.0
7,1,0,3,20.0,14.0
7,1,1,3,20.0,20.0
7,1,2,3,20.0,20.0
7,1,3,3,20.0,20.0
7,1,4,5,12.0,11.5
7,1,5,9,6.666666666666667,4.0
7,1,6,13,4.615384615384615,0.5
7,1,7,14,4.285714285714286,0.5
7,1,8,12,5.0,1.0
7,1,9,8,7.5,4.5
7,1,10,12,5.0,5.0
7,1,11,12,5.0,5.0
7,1,12,12,5.0,5.0
7,1,13,12,5.0,5.0
7,1,14,12,5.0,5.0
7,1,15,15,4.0,2.0
7,1,16,22,2.727272727272727,0.5
7,1,17,24,2.5,1.0
7,1,18,19,3.1578947368421053,2.0
7,1,19,17,3.5294117647058822,2.5
7,1,20,17,3.5294117647058822,2.0
7,1,21,12,5.0,5.0
7,1,22,11,5.454545454545454,5.0
7,1,23,9,6.666666666666667,5.0
7X,0,14,2,30.0,10.0
7X,0,15,7,8.571428571428571,8.0
7X,0,16,10,6.0,6.0
7X,0,17,13,4.615384615384615,4.0
7X,0,18,10,6.0,6.0
7X,0,19,9,6.666666666666667,5.0
7X,0,20,8,7.5,8.0
7X,0,21,6,10.0,7.0
