date,route,direction,hour,baseline_trips,opt_trips,predicted_demand,lambda_opt,target
2026-01-15,3,0,16,9.0,14,9068.197226976514,260.0,balanced
2026-01-15,3,0,17,10.0,15,10472.592304924068,260.0,balanced
2026-01-15,3,0,18,7.0,12,7869.021550819271,260.0,balanced
2026-01-15,3,0,19,9.0,14,6864.381902226285,260.0,balanced
2026-01-15,3,0,20,7.0,12,5242.613422646252,260.0,balanced
2026-01-15,3,0,21,7.0,12,4391.730994559851,260.0,balanced
2026-01-15,3,0,22,3.0,8,3584.9601226449386,260.0,balanced
2026-01-15,3,0,23,2.0,7,2048.1881357958696,260.0,balanced
2026-01-15,3,1,0,3.0,8,940.4661446316671,260.0,balanced
2026-01-15,3,1,1,3.0,6,346.16929914252546,260.0,balanced
2026-01-15,3,1,2,3.0,5,216.66583474015522,260.0,balanced
2026-01-15,3,1,3,3.0,6,269.943615152001,260.0,balanced
2026-01-15,3,1,4,3.0,8,709.4001410602664,260.0,balanced
2026-01-15,3,1,5,7.0,12,2648.1213832882645,260.0,balanced
2026-01-15,3,1,6,6.0,11,6180.640618588874,260.0,balanced
2026-01-15,3,1,7,10.0,15,13211.24682964974,260.0,balanced
2026-01-15,3,1,8,9.0,14,17513.539246891276,260.0,balanced
2026-01-15,3,1,9,9.0,14,11120.172006967581,260.0,balanced
2026-01-15,3,1,10,7.0,12,4844.181955364823,260.0,balanced
2026-01-15,3,1,11,8.0,13,4493.702582471108,260.0,balanced
2026-01-15,3,1,12,7.0,12,4781.868429107549,260.0,balanced
2026-01-15,3,1,13,8.0,13,5338.514818195276,260.0,balanced
2026-01-15,3,1,14,7.0,12,6246.905919427661,260.0,balanced
2026-01-15,3,1,15,8.0,13,7941.0908603662165,260.0,balanced
2026-01-15,3,1,16,8.0,13,9068.197226976514,260.0,balanced
2026-01-15,3,1,17,8.0,13,10472.592304924068,260.0,balanced
2026-01-15,3,1,18,9.0,14,7869.021550819271,260.0,balanced
2026-01-15,3,1,19,8.0,13,6864.381902226285,260.0,balanced
2026-01-15,3,1,20,6.0,11,5242.613422646252,260.0,balanced
2026-01-15,3,1,21,5.0,10,4391.730994559851,260.0,balanced
2026-01-15,3,1,22,3.0,8,3584.9601226449386,260.0,balanced
2026-01-15,3,1,23,3.0,8,2048.1881357958696,260.0,balanced
2026-01-15,4,0,0,4.0,9,964.288034740141,260.0,balanced
2026-01-15,4,0,1,3.0,6,349.1781218281877,260.0,balanced
2026-01-15,4,0,2,3.0,5,239.02859368924567,260.0,balanced
2026-01-15,4,0,3,3.0,7,410.63608490525115,260.0,balanced
2026-01-15,4,0,4,3.0,8,1303.2624401021503,260.0,balanced
2026-01-15,4,0,5,7.0,12,3969.6347319501397,260.0,balanced
2026-01-15,4,0,6,6.0,11,7510.741261985199,260.0,balanced
2026-01-15,4,0,7,13.0,19,13914.28815278773,260.0,balanced
2026-01-15,4,0,8,11.0,16,15938.935305275323,260.0,balanced
2026-01-15,4,0,9,11.0,16,9661.834329632635,260.0,balanced
2026-01-15,4,0,10,8.0,13,4782.712534044804,260.0,balanced
2026-01-15,4,0,11,7.0,12,4540.344293803894,260.0,balanced
2026-01-15,4,0,12,8.0,13,4998.664245398769,260.0,balanced
2026-01-15,4,0,13,7.0,12,5786.881181271202,260.0,balanced
2026-01-15,4,0,14,8.0,13,7019.446113709896,260.0,balanced
2026-01-15,4,0,15,11.0,16,9384.522108754263,260.0,balanced
2026-01-15,4,0,16,11.0,16,10519.299354592215,260.0,balanced
2026-01-15,4,0,17,12.0,18,12044.566331969823,260.0,balanced
2026-01-15,4,0,18,9.0,14,8196.383653266297,260.0,balanced
2026-01-15,4,0,19,10.0,15,6884.076385054671,260.0,balanced
2026-01-15,4,0,20,10.0,15,5151.395126970685,260.0,balanced
2026-01-15,4,0,21,7.0,12,3915.080497043755,260.0,balanced
2026-01-15,4,0,22,8.0,13,3072.940982571095,260.0,balanced
2026-01-15,4,0,23,4.0,9,1896.8017043778393,260.0,balanced
2026-01-15,4,1,0,4.0,9,964.288034740141,260.0,balanced
2026-01-15,4,1,1,3.0,6,349.1781218281877,260.0,balanced
2026-01-15,4,1,2,3.0,5,239.02859368924567,260.0,balanced
2026-01-15,4,1,3,3.0,7,410.63608490525115,260.0,balanced
2026-01-15,4,1,4,5.0,10,1303.2624401021503,260.0,balanced
2026-01-15,4,1,5,9.0,14,3969.6347319501397,260.0,balanced
2026-01-15,4,1,6,10.0,15,7510.741261985199,260.0,balanced
2026-01-15,4,1,7,14.0,21,13914.28815278773,260.0,balanced
2026-01-15,4,1,8,10.0,15,15938.935305275323,260.0,balanced
2026-01-15,4,1,9,8.0,13,9661.834329632635,260.0,balanced
2026-01-15,4,1,10,7.0,12,4782.712534044804,260.0,balanced
2026-01-15,4,1,11,8.0,13,4540.344293803894,260.0,balanced
2026-01-15,4,1,12,8.0,13,4998.664245398769,260.0,balanced
2026-01-15,4,1,13,8.0,13,5786.881181271202,260.0,balanced
2026-01-15,4,1,14,8.0,13,7019.446113709896,260.0,balanced
2026-01-15,4,1,15,11.0,16,9384.522108754263,260.0,balanced
2026-01-15,4,1,16,14.0,21,10519.299354592215,260.0,balanced
2026-01-15,4,1,17,9.0,14,12044.566331969823,260.0,balanced
2026-01-15,4,1,18,10.0,15,8196.383653266297,260.0,balanced
2026-01-15,4,1,19,9.0,14,6884.076385054671,260.0,balanced
2026-01-15,4,1,20,8.0,13,5151.395126970685,260.0,balanced
2026-01-15,4,1,21,6.0,11,3915.080497043755,260.0,balanced
